PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-01 10:14:16,2151590,4,1,DAP,"ACFrOgA7LkridyH0XoAbvsK0MKQWjqQBCrhObTRRfqvhbZA7K-wx65OyQEOGRr-Z6gb2AmoSyPU7wOEI_RkBkIkMYGJE4bO4LUNgKkkxpuQzc6-i15oGHv9truh6y1U=",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,1118kb,
2017-07-01 10:14:42,2151590,2,1,DAP,"ACFrOgAUbAWHOzfsiSGnZrfhDuOl9RbR4K43AM2dDdNvyZLua94sFXqClyLpebuIsAQMFZfOzMb8UmPslLvD41FrMYrsXAtwuqGLGvRshk5eHu3r_Bv_pp4ACWz7rLE=",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,533kb,
2017-07-01 10:50:18,2151590,1,1,DAP,"ACFrOgDRy4XpoH5pS_3UNZIQvGgPufqOpnSH1jBRvovjttSbG_szVbD-UiEsY1Xp2xSYC9_URqR-KaIJY-T_UHl9uMytqa84B2Oyuk-Yo_ooMyA90Vn5NTYxLAUgj5U=",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,58kb,
2017-07-01 12:50:47,2151590,1,1,DAP,"Instituto Federal do Piauí - Impressão do Memorando - Solicitação de Diárias e Passagem",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,194kb,
2017-07-03 08:02:13,2178304,1,1,Almoxarifado,"ACFrOgDLAebifIcPJl7nKStwdPIsHkdSKJXwO8ZIx7AMK6tJ55UwurPatVWe4ZcusS4iSYCGfbMd2fHOZEaO6nNsJCVlA6an7VtPYhmNHa4uF5Bx5vSkERommxe-9NY=",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,699kb,
2017-07-03 08:12:25,2178304,1,1,Almoxarifado,"ACFrOgC9isba2e8iUNKuRP97jm7CX1ObcBob2DYOq40cxeigyK50lg89IlgYc6YO9XqjAgUf2LAO-G3uxyhnavbkl43xVT6csEJq4guYPslQcrFkUuF66DBL7_jXZ0Y=",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,699kb,
2017-07-03 11:24:58,2257309,2,1,Almoxarifado,"FaturaHipercard-07-2017.pdf",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,5078kb,
2017-07-03 11:33:55,2178304,2,1,DAP,"LstConsumo_5240653_2017_07_03_113309 - Bloco de notas",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,425kb,
2017-07-03 11:45:44,2257309,1,1,DAP,"Cópia de Conta Vinculada REFEITORIO.xls",CAPAU-251000,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,124kb,
2017-07-03 11:47:34,2257309,2,1,Almoxarifado,"Microsoft Word - MEMO Nº41 conta vinculada contadora",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1677kb,
2017-07-03 14:41:02,2151590,1,1,Almoxarifado,"E-mail de INSTITUTO FEDERAL DO PIAUÍ - Solicitação de Férias",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,811kb,
2017-07-03 16:42:02,2151590,2,1,Almoxarifado,"Microsoft Word - Memorando Subistituto Eventual",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1557kb,
2017-07-04 08:13:27,2178304,1,1,DAP,"LstConferenciaNF_5240653_2017_07_04_081249",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,240kb,
2017-07-04 08:14:06,2178304,1,1,DAP,"LstNFSePai_5240653_2017_07_04_081337",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,147kb,
2017-07-04 08:15:08,2178304,1,1,Almoxarifado,"LstNFSePai_5240653_2017_07_04_081337",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,989kb,
2017-07-04 08:18:14,2178304,4,1,DAP,"Microsoft Word - COLAR COMPROVANTES",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,194kb,
2017-07-04 08:50:16,2151590,1,1,Almoxarifado,"ACFrOgDGtB_2LuH_zFEfHvWfWZLGilhfqmh13A5b__7UFyxS5gEDoS2_OVckprBOVy3UuWtYinSx82mknWrjEJVAgcgsMrKyvOCRamT6JurmytGYgBnSu8f6zLslS88=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1167kb,
2017-07-04 08:59:56,2151590,2,1,Almoxarifado,"ACFrOgDxE1w2H5eX1BjJLxAamL1SOnSToEgWP2hUUjsmOcGj7CZRQxl1Q-y7TTRVje10UhzJ0tRcXqjtWd8sh6BkjZSVWeEhk_-IqB5PYjgYgZ5oXzSq7WS4jLhEQWc=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,5886kb,
2017-07-04 10:44:37,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 10:45:32,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 10:46:42,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 14:17:45,2178304,1,1,DAP,"PDF.js viewer",CAPAU-251028,Letter,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,207kb,
2017-07-04 14:33:37,2178304,1,1,DAP,"PDF.js viewer",CAPAU-251028,Letter,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,253kb,
2017-07-04 17:27:26,2151590,2,1,DAP,"Microsoft Word - Memo 73",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,242kb,
2017-07-05 09:35:38,2151590,1,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,275kb,
2017-07-05 09:35:48,2151590,1,1,Almoxarifado,"Microsoft Word - Memo 73",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,211kb,
2017-07-05 09:38:13,2257309,2,1,Almoxarifado,"ACFrOgBlXlWEDX2fD2Gn9y4omLSBOKSdmioEfCh...LqyfMbUb5-3fuFwnvSZGEcsxx7gvVHE5LGqUg=",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,12908kb,
2017-07-05 09:40:15,2257309,1,1,Almoxarifado,"ACFrOgA_REg9DvV21GlAVRmhlAiehAcv1Zwparm...PKUsqoAnq0t3p0FgjEVDKbFe99396vO1CBoSI=",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,796kb,
2017-07-05 09:50:34,2257309,1,1,Almoxarifado,"Microsoft Word - MEMO - Conta Vinculada Atitude Terceirização",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,835kb,
2017-07-05 09:52:01,2257309,1,1,Almoxarifado,"Microsoft Word - MEMO - Conta Vinculada Atitude Terceirização",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,835kb,
2017-07-05 14:43:34,2160484,2,1,Almoxarifado,"Microsoft Word - 01_folha de ponto-todas-2015 (2)",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2492kb,
2017-07-05 14:54:16,2151590,1,1,Almoxarifado,"Microsoft Word - Relatório circustânciado",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,357kb,
