PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-20 07:16:15,2152058,1,1,Pedagogico,"Microsoft Word - memorando de pagamento JULHO - Copia",CAPAU-251018,A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,97kb,
2017-07-20 08:17:50,2178304,2,1,Almoxarifado,"ACFrOgA_mTmkDvIFTOdfQbyD4bVkZpTadYn8KTtADJDXEddo2fjl2-sxSeyItIQXE1ZTa7cZE7MdEmUYnUMQ7mDpiqGRdcW6mgHbG1knKexU1HZI-xtpAwhGzMxDLI4=",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1442kb,
2017-07-20 09:12:05,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1016kb,
2017-07-20 09:15:44,2762200,8,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,6504kb,
2017-07-20 09:44:20,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:45:18,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:46:02,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:46:40,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:47:14,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:47:28,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
2017-07-20 09:47:55,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1372kb,
