PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-17 08:43:54,2178394,3,1,Biblioteca,"Microsoft Word - Documento1",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,3050kb,
2017-07-17 09:09:14,2178304,1,1,Almoxarifado,"capa_23178.000210_2017-28.pdf",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,792kb,
2017-07-17 09:09:21,2178304,1,1,Almoxarifado,"capa_23178.000210_2017-28.pdf",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,678kb,
2017-07-17 09:10:39,2178304,1,1,Almoxarifado,"Microsoft Word - Despacho timbre - diretor (4)",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,894kb,
2017-07-17 09:47:24,2178394,1,1,Biblioteca,"Sem título - Bloco de notas",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,567kb,
2017-07-17 09:50:48,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-17 09:57:06,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-17 12:59:04,2178394,1,1,Biblioteca,"Microsoft Word - Documento1",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,623kb,
2017-07-17 12:59:23,2178394,1,1,Biblioteca,"Microsoft Word - Documento1",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,623kb,
2017-07-17 15:05:36,2178394,1,1,Biblioteca,"CirculacaoDeclaracaoServlet",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,696kb,
2017-07-17 15:08:21,2178394,1,1,Biblioteca,"CirculacaoDeclaracaoServlet",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,693kb,
2017-07-17 15:12:13,2156915,1,1,Biblioteca,"CirculacaoDeclaracaoServlet",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,692kb,
2017-07-17 15:16:49,2178394,1,1,Biblioteca,"CirculacaoDeclaracaoServlet",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,691kb,
2017-07-17 15:16:52,2156915,1,1,Biblioteca,"CirculacaoDeclaracaoServlet",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,691kb,
2017-07-17 15:36:45,2178304,1,1,DAP,"capa_23178.000211_2017-72.pdf",CAPAU-251028,A4,PCL5,,,DUPLEX,NOT GRAYSCALE,57kb,
2017-07-17 15:36:51,2178304,1,1,DAP,"capa_23178.000211_2017-72.pdf",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,74kb,
2017-07-17 15:37:13,2178304,1,1,Almoxarifado,"Microsoft Word - Despacho timbre - diretor (4)",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,894kb,
2017-07-17 15:38:38,2178304,1,1,Almoxarifado,"capa_23178.000211_2017-72.pdf",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,783kb,
2017-07-17 15:38:47,2178304,1,1,Almoxarifado,"capa_23178.000211_2017-72.pdf",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,674kb,
2017-07-17 15:39:07,2178304,1,1,Almoxarifado,"Microsoft Word - Despacho timbre - diretor (4)",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,888kb,
