PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-13 07:58:23,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1449kb,
2017-07-13 07:58:35,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1449kb,
2017-07-13 07:59:17,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1452kb,
2017-07-13 07:59:55,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1452kb,
2017-07-13 08:02:21,2178394,2,1,Biblioteca,"ACFrOgAbFBTzyHgKV_gL8gHAarS0pbrjanC22d2JrGvfTv8uupyTfc7LWeUTBhQvY3CO75TCWLSqySvzJcuRhw7Zb3NwqBf9iw6lPU4rd_J9PHXR6D10T5Rhn5ptfOk=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1452kb,
2017-07-13 08:46:49,2151655,1,1,Almoxarifado,"Req. Francisco 40.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,687kb,
2017-07-13 08:47:23,2151655,1,1,Almoxarifado,"Req. Francielson 30.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,696kb,
2017-07-13 09:06:06,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1078kb,
2017-07-13 09:06:32,2762200,1,1,Almoxarifado,"Simples Nacional",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1017kb,
2017-07-13 09:07:12,2762200,1,1,Almoxarifado,"certidao_12059465000105.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1058kb,
2017-07-13 09:07:58,2762200,2,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2038kb,
2017-07-13 09:09:11,2762200,1,1,Almoxarifado,"https://www.sifge.caixa.gov.br/Empresa/...=&VARCoNumRegul=2017071102512797532090",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,881kb,
2017-07-13 09:09:52,2762200,2,1,Almoxarifado,"Emissão de 2ª via de Certidão",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2363kb,
2017-07-13 09:10:44,2762200,2,1,Almoxarifado,"certidao_04965632000140.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2201kb,
2017-07-13 09:11:57,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2041kb,
2017-07-13 09:12:11,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1966kb,
2017-07-13 09:30:22,2178394,3,1,Biblioteca,"ACFrOgBI8kZMOiVzSZQDEG_sykuzk5fWWdu7o40AsBj6bTNysrhJ88LsMC6ThLfaZPz_mL9sV8Q1JtwsnPasRBVBHItxv1VTenWl7_qlfAV19bXrPdN9zS0bhQBOmNo=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2280kb,
2017-07-13 09:31:38,2178394,3,1,Biblioteca,"ACFrOgBI8kZMOiVzSZQDEG_sykuzk5fWWdu7o40AsBj6bTNysrhJ88LsMC6ThLfaZPz_mL9sV8Q1JtwsnPasRBVBHItxv1VTenWl7_qlfAV19bXrPdN9zS0bhQBOmNo=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2277kb,
2017-07-13 09:34:08,2178394,3,1,Biblioteca,"ACFrOgBI8kZMOiVzSZQDEG_sykuzk5fWWdu7o40AsBj6bTNysrhJ88LsMC6ThLfaZPz_mL9sV8Q1JtwsnPasRBVBHItxv1VTenWl7_qlfAV19bXrPdN9zS0bhQBOmNo=",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2280kb,
2017-07-13 09:34:32,2151205,1,1,Coord_Cursos,"Microsoft Word - Documento1",CAPAU-251029,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,35kb,
2017-07-13 09:39:48,2151205,1,1,Coord_Cursos,"Microsoft Word - Documento1",CAPAU-251029,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,35kb,
2017-07-13 09:43:23,2151205,1,1,Disciplina,"Microsoft Word - Documento1",CAPAU-251029,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,712kb,
2017-07-13 10:16:41,2151590,2,1,Almoxarifado,"Formulário para cadastro de relatório.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1574kb,
2017-07-13 10:50:14,2151590,1,1,Almoxarifado,"Microsoft Word - Memo 61",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,865kb,
2017-07-13 11:48:00,2151590,1,1,Almoxarifado,"(Foto de p\341gina inteira) - ACFrOgASkR_g_63O_IePVtocNzVQDQHd3xmSq5CzOYM9B6KP9bFmgS5JCJlPx63sIRXIUQVG-GKPH-jPsVPQ5tHulIOD4ZaqgssWvfGSs5mjtypiYxYzoZHe19ArIKU=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,6061kb,
2017-07-13 13:49:10,2178304,1,1,DAP,"Email – thatha-castro@hotmail.com",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,88kb,
2017-07-13 13:50:22,2178304,1,1,DAP,"2a Via de Fatura",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,267kb,
2017-07-13 14:21:48,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,784kb,
2017-07-13 14:22:03,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,979kb,
2017-07-13 15:07:30,2151655,1,1,Almoxarifado,"Req. Marli 16.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,689kb,
2017-07-13 15:08:51,2151655,1,1,Almoxarifado,"Req. Marli 16.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,689kb,
2017-07-13 15:17:49,2151205,2,1,Disciplina,"Microsoft Word - Documento1",CAPAU-251029,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1297kb,
2017-07-13 15:37:04,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,783kb,
2017-07-13 15:37:33,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,913kb,
2017-07-13 15:56:01,2151655,1,1,Almoxarifado,"Req. Francelino 41.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,697kb,
2017-07-13 15:56:34,2151655,1,1,Almoxarifado,"Req. Welkson 99.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,694kb,
2017-07-13 16:08:05,2178304,1,1,Almoxarifado,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1415kb,
2017-07-13 16:09:45,2178304,1,1,Almoxarifado,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1416kb,
2017-07-13 16:19:07,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2078kb,
2017-07-13 16:19:41,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2066kb,
2017-07-13 16:32:49,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,783kb,
2017-07-13 16:33:00,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,971kb,
2017-07-13 16:42:46,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,782kb,
2017-07-13 16:42:57,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,888kb,
2017-07-13 16:48:32,2762200,3,1,Almoxarifado,"Consulta Local Prova",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,3222kb,
2017-07-13 18:22:37,1060949,1,1,Biblioteca,"boletoGRU(29).pdf",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1390kb,
