PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-11 08:17:21,2151590,1,1,Almoxarifado,"PDF.js viewer",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2098kb,
2017-07-11 08:34:20,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,846kb,
2017-07-11 08:34:35,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1485kb,
2017-07-11 08:36:29,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1485kb,
2017-07-11 08:36:54,2151590,1,1,Almoxarifado,"PDF.js viewer",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2098kb,
2017-07-11 08:37:13,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,846kb,
2017-07-11 08:37:59,2151590,1,1,Almoxarifado,"IFPI PAULISTANA COTACAO.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,7725kb,
2017-07-11 08:42:20,2160484,1,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2017-07-11 08:44:07,2151590,1,1,Almoxarifado,"IFPI PAULISTANA COTACAO.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,7725kb,
2017-07-11 10:38:37,2000524,1,1,DAP,"Microsoft Word - Têm sido cada vez recorrentes os estudos acerca do estudos das forças que impulsionam os colaboradores nas Organizações",CAPAU-251021,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,218kb,
2017-07-11 13:47:00,2762200,1,1,Almoxarifado,"Simples Nacional",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1002kb,
2017-07-11 13:48:40,2762200,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1150kb,
2017-07-11 14:01:00,2762200,1,1,Almoxarifado,"certidao_20991439000130.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1070kb,
2017-07-11 14:37:38,2178304,2,1,Almoxarifado,"Microsoft Word - COLETIVO",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2021kb,
