PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-04 08:13:27,2178304,1,1,DAP,"LstConferenciaNF_5240653_2017_07_04_081249",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,240kb,
2017-07-04 08:14:06,2178304,1,1,DAP,"LstNFSePai_5240653_2017_07_04_081337",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,147kb,
2017-07-04 08:15:08,2178304,1,1,Almoxarifado,"LstNFSePai_5240653_2017_07_04_081337",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,989kb,
2017-07-04 08:18:14,2178304,4,1,DAP,"Microsoft Word - COLAR COMPROVANTES",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,194kb,
2017-07-04 08:50:16,2151590,1,1,Almoxarifado,"ACFrOgDGtB_2LuH_zFEfHvWfWZLGilhfqmh13A5b__7UFyxS5gEDoS2_OVckprBOVy3UuWtYinSx82mknWrjEJVAgcgsMrKyvOCRamT6JurmytGYgBnSu8f6zLslS88=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1167kb,
2017-07-04 08:59:56,2151590,2,1,Almoxarifado,"ACFrOgDxE1w2H5eX1BjJLxAamL1SOnSToEgWP2hUUjsmOcGj7CZRQxl1Q-y7TTRVje10UhzJ0tRcXqjtWd8sh6BkjZSVWeEhk_-IqB5PYjgYgZ5oXzSq7WS4jLhEQWc=",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,5886kb,
2017-07-04 10:44:37,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 10:45:32,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 10:46:42,2151590,3,1,DAP,"Microsoft Word - Documento1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,457kb,
2017-07-04 14:17:45,2178304,1,1,DAP,"PDF.js viewer",CAPAU-251028,Letter,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,207kb,
2017-07-04 14:33:37,2178304,1,1,DAP,"PDF.js viewer",CAPAU-251028,Letter,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,253kb,
2017-07-04 17:27:26,2151590,2,1,DAP,"Microsoft Word - Memo 73",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,242kb,
