PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-07 08:03:34,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1157kb,
2017-07-07 08:03:36,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1157kb,
2017-07-07 08:04:19,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-1.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1129kb,
2017-07-07 08:04:20,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-1.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1129kb,
2017-07-07 08:05:07,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-2.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1195kb,
2017-07-07 08:05:08,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor-2.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1195kb,
2017-07-07 08:07:15,2151590,1,1,Almoxarifado,"certidao_63505812000109.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,286kb,
2017-07-07 08:07:15,2151590,1,1,Almoxarifado,"certidao_63505812000109.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,286kb,
2017-07-07 08:08:08,2151590,1,1,Almoxarifado,"certidao_11436412000195.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:08,2151590,1,1,Almoxarifado,"certidao_11436412000195.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:57,2151590,1,1,Almoxarifado,"certidao_15811210000137.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:08:57,2151590,1,1,Almoxarifado,"certidao_15811210000137.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-07 08:09:40,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,272kb,
2017-07-07 08:09:57,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,272kb,
2017-07-07 08:10:12,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,267kb,
2017-07-07 08:11:04,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,255kb,
2017-07-07 08:11:04,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,255kb,
2017-07-07 08:11:45,2151590,1,1,Almoxarifado,"certidaoNegativa-1.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-07 08:11:45,2151590,1,1,Almoxarifado,"certidaoNegativa-1.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-07 08:12:18,2151590,1,1,Almoxarifado,"certidaoNegativa-2.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,253kb,
2017-07-07 08:12:18,2151590,1,1,Almoxarifado,"certidaoNegativa-2.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,253kb,
2017-07-07 08:13:32,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces;jsessionid=18dYTWt0jsJ3W0JAWvOl670O.host1a10:ce03-arqref7",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,325kb,
2017-07-07 08:14:08,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,323kb,
2017-07-07 08:14:28,2151590,1,1,Almoxarifado,"https://contas.tcu.gov.br/certidao/Web/Certidao/NadaConsta/home.faces",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,323kb,
2017-07-07 08:18:56,2151590,1,1,Almoxarifado,"Microsoft Word - Despacho empenho pregao",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,209kb,
