PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2016-06-29 17:06:32,Administrador,1,1,Brother-DAP,"Microsoft Word - Documento1",[fe80::b58f:a49f:5a8c:3a18],A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-29 17:07:14,Administrador,1,1,Brother-DAP,"Página de teste",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,241kb,
2016-06-29 17:13:14,Administrador,1,1,Brother-DAP,"Página de teste",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,241kb,
2016-06-29 17:14:59,Administrador,1,3,Brother-DAP,"Sem título1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-29 18:10:38,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,75kb,
2016-06-29 18:10:54,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:10:59,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:11:04,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:13:46,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
2016-06-29 18:13:48,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
