PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-06 08:05:47,2151590,1,1,Almoxarifado,"Microsoft Word - Demonstrativo_Anual_RECEITA_Junho 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,289kb,
2017-07-06 08:06:06,2151590,2,1,Almoxarifado,"Microsoft Word - Demonstrativo_Anual_DESPESA_Junho 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,667kb,
2017-07-06 08:26:30,2151590,1,1,Almoxarifado,"Memorando 192017.jpg",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1128kb,
2017-07-06 08:26:30,2151590,1,1,Almoxarifado,"Memorando 192017.jpg",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1128kb,
2017-07-06 08:43:23,2151590,1,1,Almoxarifado,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,381kb,
2017-07-06 08:44:25,2151590,1,1,Almoxarifado,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,381kb,
2017-07-06 08:45:46,2151590,1,1,DAP,"Microsoft Word - despacho para empenho",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,208kb,
2017-07-06 09:26:43,2151590,1,1,Almoxarifado,"Microsoft Word - Requerimento SEFAZ PNAE",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,207kb,
2017-07-06 15:36:36,2257309,2,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1191kb,
2017-07-06 15:37:44,2257309,2,1,Almoxarifado,"Microsoft Word - Documento1",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1191kb,
2017-07-06 15:39:26,2151590,8,1,Almoxarifado,"Microsoft Word - Memo nº 09 de 2017",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1499kb,
2017-07-06 15:48:28,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1204kb,
2017-07-06 15:48:29,2151590,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,1204kb,
2017-07-06 15:51:08,2151590,1,1,Almoxarifado,"http://www.receita.fazenda.gov.br/Aplicacoes/ATSPO/Certidao/CNDConjuntaSegVia/ResultadoSegVia.asp?Origem=1&Tipo=1&NI=07756312000179&Senha=",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,302kb,
2017-07-06 15:54:35,2151590,1,1,Almoxarifado,"certidao_07756312000179.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-06 15:54:35,2151590,1,1,Almoxarifado,"certidao_07756312000179.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,287kb,
2017-07-06 15:56:15,2151590,1,1,Almoxarifado,"https://www.sifge.caixa.gov.br/Empresa/Crf/Crf/FgeCFSImprimirPa",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,276kb,
2017-07-06 15:56:36,2151590,1,1,Almoxarifado,"Portal da Transparência - Cadastro de Empresas Inidôneas e Suspensas",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,269kb,
2017-07-06 15:58:38,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-06 15:58:38,2151590,1,1,Almoxarifado,"certidaoNegativa.pdf",CAPAU-SRV03,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,256kb,
2017-07-06 16:11:24,2151590,1,1,Almoxarifado,"Microsoft Word - RELATÓRIO INEXIGIBILIDADE",CAPAU-117697,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,213kb,
