PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-14 08:20:23,2151655,1,1,Almoxarifado,"Req. Maria Isabel 66.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,765kb,
2017-07-14 08:21:22,2151655,1,1,Almoxarifado,"Req. Francelino 42.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,697kb,
2017-07-14 08:34:56,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,800kb,
2017-07-14 08:39:40,1060949,1,1,Biblioteca,"RelatoriosExibeResultadoServlet",CAPAU-111255,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,763kb,
2017-07-14 08:42:11,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,757kb,
2017-07-14 08:54:47,2762200,1,1,Almoxarifado,"Simples Nacional",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1033kb,
2017-07-14 09:09:46,2151655,1,1,Almoxarifado,"Req. Clésio 17.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,686kb,
2017-07-14 09:10:21,2151655,1,1,Almoxarifado,"Req. Patricia.pdf",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,698kb,
2017-07-14 09:16:07,2762200,1,1,Almoxarifado,"certidao_01864782000170.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1056kb,
2017-07-14 09:16:25,2762200,2,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2001kb,
2017-07-14 09:17:20,2762200,2,1,Almoxarifado,"certidao_11436412000195.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2112kb,
2017-07-14 09:18:07,2762200,2,1,Almoxarifado,"consultarSituacaoFornecedor-1.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2221kb,
2017-07-14 09:21:13,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,760kb,
